,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
0,AJ Price,26,133,29.0,us,1986,University of Connecticut,5,185.0,PG,PHO,81.45,23.79839299
1,Aaron Brooks,82,954,30.0,us,1985,University of Oregon,6,180.0,PG,CHI,72.45,22.36111111
2,Aaron Gordon,47,243,20.0,us,1995,University of Arizona,R,202.5,PF,ORL,99.0,24.14266118
3,Adreian Payne,32,213,24.0,us,1991,Michigan State University,R,205.0,PF,ATL,106.65,25.37775134
4,Al Horford,76,1156,29.0,do,1986,University of Florida,7,205.0,C,ATL,110.25,26.2343843
6,Alan Anderson,74,545,33.0,us,1982,Michigan State University,5,195.0,SG,NJN,99.0,26.03550296
7,Alec Burks,27,374,24.0,us,1991,University of Colorado,3,195.0,SG,UTA,96.3,25.32544379
8,Alex Kirk,5,4,24.0,us,1991,University of New Mexico,R,210.0,C,CLE,110.25,25.0
9,Alex Len,69,432,22.0,ua,1993,University of Maryland,1,212.5,C,PHO,117.0,25.910034600000003
12,Al-Farouq Aminu,74,412,25.0,us,1990,Wake Forest University,4,202.5,SF,DAL,99.0,24.14266118
13,Allen Crabbe,51,168,23.0,us,1992,University of California,1,195.0,SG,POR,94.5,24.85207101
14,Alonzo Gee,54,241,28.0,us,1987,University of Alabama,5,195.0,SF,POR,101.25,26.62721893
18,Andre Dawkins,4,3,24.0,us,1991,Duke University,R,192.5,SG,MIA,96.75,26.10895598
19,Andre Drummond,82,1130,22.0,us,1993,University of Connecticut,2,207.5,C,DET,125.55,29.15952969
20,Andre Iguodala,77,604,31.0,us,1984,University of Arizona,10,195.0,SF,GSW,96.75,25.44378698
21,Andre Miller,81,355,39.0,us,1976,University of Utah,15,187.5,PG,WAS,90.0,25.6
22,Andre Roberson,67,228,24.0,us,1991,University of Colorado,1,197.5,SG,OKC,94.5,24.22688672
25,Andrew Bogut,67,422,31.0,au,1984,University of Utah,9,210.0,C,GSW,117.0,26.53061224
26,Andrew Nicholson,40,194,26.0,ca,1989,St. Bonaventure University,2,202.5,PF,ORL,112.5,27.43484225
28,Anthony Bennett,57,298,22.0,ca,1993,"University of Nevada, Las Vegas",1,200.0,PF,MIN,110.25,27.5625
